Timestamp,PredictedEmotion
1707900427.692159,Neutral
1707900427.7766457,Neutral
1707900427.864231,Neutral
1707900427.943197,Neutral
1707900428.0243654,Neutral
1707900428.110416,Neutral
1707900428.1765025,Neutral
1707900428.2635138,Neutral
1707900428.3429224,Neutral
1707900428.4264443,Neutral
1707900428.4918854,Neutral
1707900428.5759904,Neutral
1707900428.6430743,Neutral
1707900428.725444,Neutral
1707900428.80721,Neutral
1707900428.8924413,Neutral
1707900428.9602668,Neutral
1707900429.060977,Relaxed
1707900429.1436572,Relaxed
1707900429.2252705,Relaxed
1707900429.2930813,Neutral
1707900429.3594835,Neutral
1707900429.4540591,Neutral
1707900429.52608,Neutral
1707900429.6100225,Neutral
1707900429.6906354,Neutral
1707900429.7766156,Neutral
1707900429.8535519,Neutral
1707900430.0094316,Neutral
1707900430.3192687,Neutral
1707900430.3853521,Neutral
1707900430.4590385,Neutral
1707900430.5447707,Relaxed
1707900430.7912235,Neutral
1707900430.8733873,Neutral
1707900430.9594526,Shocked
1707900431.0495477,Shocked
1707900431.1215591,Shocked
1707900431.1913288,Shocked
1707900431.2740283,Shocked
1707900431.3583748,Shocked
1707900431.4387753,Shocked
1707900431.5072105,Shocked
1707900431.591283,Shocked
1707900431.676256,Shocked
1707900431.7585204,Shocked
1707900431.834562,Shocked
1707900431.9089284,Shocked
1707900431.9966953,Shocked
1707900432.0581155,Shocked
1707900432.160466,Neutral
1707900432.2371554,Shocked
1707900432.3049073,Shocked
1707900432.3743687,Shocked
1707900432.4582841,Shocked
1707900432.5413494,Shocked
1707900432.625088,Shocked
1707900432.7092636,Broked
1707900432.7924986,Broked
1707900432.8757288,Broked
1707900432.9586294,Broked
1707900433.0396662,Broked
1707900433.124811,Broked
1707900433.1998644,Broked
1707900433.2759473,Broked
1707900433.3420289,Broked
1707900433.4357953,Broked
1707900433.6315904,Relaxed
1707900433.6968348,Relaxed
1707900433.7668068,Neutral
1707900433.8431506,Neutral
1707900433.9182062,Neutral
1707900434.0081582,Neutral
1707900434.092007,Neutral
1707900434.1684525,Neutral
1707900434.2585907,Neutral
1707900434.3417096,Neutral
1707900434.4241602,Neutral
1707900434.5238733,Broked
1707900434.6181664,Broked
1707900434.691705,Broked
1707900434.7790518,Broked
1707900434.8584006,Broked
1707900434.9576654,Broked
1707900435.040497,Broked
1707900435.128583,Broked
1707900435.2150118,Broked
1707900435.2930558,Broked
1707900435.3751063,Broked
1707900435.4570858,Broked
1707900435.555951,Broked
1707900435.6507056,Broked
1707900435.7421746,Broked
1707900435.8247616,Broked
1707900435.9067876,Broked
1707900435.9902215,Broked
1707900436.077888,Broked
1707900436.158935,Broked
1707900436.2505572,Broked
1707900436.3241427,Broked
1707900436.4166465,Neutral
1707900436.5048485,Shocked
1707900436.6041303,Shocked
1707900436.6823835,Shocked
1707900436.758401,Shocked
1707900436.7911093,Neutral
1707900436.8913748,Shocked
1707900436.931718,Neutral
1707900437.0277324,Shocked
1707900437.1125863,Shocked
1707900437.1517758,Broked
1707900437.2466512,Relaxed
1707900437.2907403,Shocked
1707900437.3778331,Shocked
1707900437.473257,Shocked
1707900437.575834,Shocked
1707900437.65729,Shocked
1707900437.8583333,Shocked
1707900437.9430702,Neutral
1707900437.973417,Neutral
1707900438.071912,Neutral
1707900438.16695,Neutral
1707900438.2566407,Neutral
1707900438.3410225,Neutral
1707900438.4237027,Neutral
1707900438.5187213,Neutral
1707900438.590371,Neutral
1707900438.6732185,Neutral
1707900438.758589,Neutral
1707900438.8466613,Shocked
1707900438.924183,Shocked
1707900439.012452,Shocked
1707900439.090551,Shocked
1707900439.1742613,Neutral
1707900439.2585986,Neutral
1707900439.3534837,Neutral
1707900439.4415436,Broked
1707900439.519132,Neutral
1707900439.6019812,Neutral
1707900439.696449,Neutral
1707900439.7910407,Relaxed
1707900439.8742652,Relaxed
1707900439.9406712,Neutral
1707900440.0295959,Neutral
1707900440.1243267,Neutral
1707900440.2231424,Neutral
1707900440.307841,Relaxed
1707900440.3933444,Relaxed
1707900440.490278,Relaxed
1707900440.5736682,Relaxed
1707900440.6649055,Neutral
1707900440.7405148,Neutral
1707900440.8371854,Neutral
1707900440.907174,Neutral
1707900441.0002549,Neutral
1707900441.074381,Neutral
1707900441.1679513,Neutral
1707900441.2073824,Neutral
